Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Chest [mm],Abd [mm],InspInd
2.78,-0.720897225663957,-0.537602432260981,2.15037072560207,1188.07709993491,1150.00676474116,0
2.79,-0.827481492899219,-0.574280268583589,2.14481131209785,1188.07709993491,1149.97462784366,0
2.8,-0.912748906687429,-0.589891659116321,2.13899045245935,1188.07709993491,1149.91035404865,0
2.81,-1.03096054853018,-0.647222089657887,2.13280488371548,1188.07709993491,1149.87821715114,0
2.82,-1.05421529774514,-0.656403003394374,2.12628675825022,1188.07709993491,1149.84608025363,0
2.83,-1.17048904381997,-0.669442075296769,2.11965753285676,1188.07709993491,1149.84608025363,0
2.84,-1.26350804067984,-0.689020530260121,2.11286521982898,1188.07709993491,1149.81394335613,0
2.85,-1.35071335023596,-0.701453548306963,2.10591284943614,1188.07709993491,1149.78180645862,0
2.86,-1.43598076402417,-0.726901482770233,2.09877107428075,1188.07709993491,1149.78180645862,0
2.87,-1.41466391057712,-0.731763754252816,2.09147774809564,1188.07709993491,1149.74966956111,0
2.88,-1.54644082279526,-0.745566172713015,2.08409109846081,1188.07709993491,1149.74966956111,0
2.89,-1.65302509003053,-0.762031764587326,2.07655310877431,1188.07709993491,1149.71753266361,0
2.9,-1.60845348736851,-0.760867467857525,2.06893861261208,1188.07709993491,1149.6853957661,0
2.91,-1.72472723344334,-0.776438176992853,2.06125208438783,1188.07709993491,1149.6853957661,0
2.92,-1.72085144190751,-0.79728207976902,2.05338348310402,1188.07709993491,1149.6532588686,0
2.93,-1.78092621071284,-0.812973236777197,2.04533220652129,1188.07709993491,1149.62112197109,0
